entities	language	tweet_id	text	cagri	kaan	label	cagri_labels	kaan_labels	emre	oguzhan	emre_labels	oguzhan_labels
	1	1233868645782245376	Ill pay someone to finish this essay for me as soon as possible  !  if you like, follow or comment on this tweet youre gay ! 🤡	0.0	0.0	0.0			-1	-1		
	1	1277025975356792838	Damn the bottom of the Championship is it’s. What’s even crazier is how 4 of these teams were in the Premier League in the last couple season, too. https://t.co/LevyETXYMZ	0.0	0.0	0.0			-1	-1		
19:24%OTAR|135:141%OSIG	1	1377372264484663298	"YEP !  Joe- mentia Biden killed the pipeline now I'm paying almost $ 1 more a gallon already. Isn't it nice to have such a pro America puppet president ?  EXTREEEEEEEEME SARCASM
#TheFive"	1.0	1.0	1.0	19:24%OTAR|135:141%OSIG	135:141%OSIG	-1	-1		
22:30%OSIG|256:274%OSIG	0	1344205572812525568	"Beni engelledin fakat yüzsüzce yaptığın paylaşımları sana ve seni görevlendirene öfkelenip bana da gönderiyorlar.

Hem Suriyeliler'i, Zana'yı savunup katil başı için 'taşın altına el koymaktan' bahsedip hem de Fırat Çakıroğlu'na timsah gözyaşı dökemezsin!

Omurgasız riyakar!"	1.0	1.0	1.0	22:30%OSIG|257:274%OSIG	256:274%OSIG	-1	-1		
12:53%HSIG|73:86%HSIG|86:89%HTAR|89:101%HSIG|105:117%HSIG|261:277%HSIG	0	1272635922807492609	"Sizin kadar şerefsiz namussuz haysiyetsiz karaktersiz bir zihniyet yok.

Vatan hayini CHP zihniyetininde sonu gelecek sizin ne M.Kemale ne  #CUMHURBAŞKANIMIZ #RecepTayyipErdogan a nede milletin iradesine saygınız var, 
Bide çıkmış iktidar olacaz diyorsunuz. 
 
HDP PKK 
PKK CHP https://t.co/uPQzK5tfTV"	2.0	2.0	2.0	12:53%OSIG|73:85%OSIG|86:89%HTAR|105:117%HSIG	12:53%HSIG|73:101%HSIG|261:277%HSIG	-1	-1		
4:9%OTAR|16:74%OSIG	1	1277541438092386304	all arabs do is get mad at something stupid then become rude with everyone around them	1.0	1.0	1.0	4:9%OTAR|16:74%OSIG	4:9%OTAR	-1	-1		
	1	1343316230925647873	ok trans people is there any particular song or type of music that gives you ✨ gender euphoria ✨ ? for me it's wanted dead or alive by bon jovi and the particular kind of def leppard, aerosmith etc. rock!! QT or reply and tell me!!	0.0	0.0	0.0			-1	-1		
	0	1231489988551987200	ülkenin başında bu yıl niye bukadar  musibet var  tahmin edeyim hala kadınlar öldürülüyor  - gerçi öldürülmektende kurtulan var ama  insan kurtardigina pişman oluyor , adaletsizlik hala  var ,  vatan hainleri artıyor  alın size sadece benim dilimden  ...#deprem	0.0	2.0	-2.0		133:165%HSIG|193:208%HSIG	0.0	0.0		
	1	1277817989849427968	basketball shoes are so ugly wtf	0.0	0.0	0.0			-1	-1		
	0	1284532278635397122	Devrimci çağdaş olmakla ve insana kıymet vermekle tepemize çıkmaya çalışanların nasıl bir çukur olduğunu görüyoruz. Kadın hakları diyerek müslümanlara olmadık hakaretleri yapan çukurların boyası döküldü. Tuma çelik tecavüz ediyor Huda Kaya ört bas etmeye çalışıyor.		1.0	-2.0		50:77%OSIG|90:95%OSIG	-1	-1		
0:4%OSIG|5:20%OTAR|40:48%OSIG|49:61%OTAR|62:66%OSIG|67:88%OTAR|89:97%OSIG|98:103%OTAR	1	1277955336662478848	Fuck white privilege. There, I said it. Fuck you white people Fuck white beauty standard Fuck you Trump	1.0	1.0	1.0	0:4%OSIG|40:48%OSIG|49:61%OTAR|89:97%OSIG|98:103%OTAR	0:4%OSIG|5:20%OTAR|40:48%OSIG|49:61%OTAR|62:66%OSIG|67:88%OTAR|89:97%OSIG|98:103%OTAR	-1	-1		
	1	1344096840258625537	Whiney Mike Leech, who can't keep a quality head coaching job for football in Texas or Washington and now is at Mississippi State took a cheap shot at the University of Tulsa Mon (but then, in fairness he's a cheap, low life coach).... &gt;&gt;&gt;	1.0	0.0	-2.0	7:17%OTAR|207:230%OSIG		1.0	1.0	type:textContent|109$126$1$highlight-offensivetarget$|318$323$2$highlight-offensivesignal$|325$333$3$highlight-offensivesignal$|334$339$4$highlight-offensivetarget$	type:textContent|109$126$4$highlight-offensivetarget$|318$323$3$highlight-offensivesignal$|325$333$2$highlight-offensivesignal$|334$339$1$highlight-offensivetarget$
	0	1277597454842527745	"Ulan Ata'yı  buna da alet ettiniz ya harbiden tam bir orospu çocuğusunuz. 
#LGBTFaaliyetleriYasaklansın
#Lgbt 
#onurhaftası2020 https://t.co/NJTCSADw1P"	1.0	2.0	-2.0	54:72%OSIG|105:110%OTAR	46:72%HSIG|76:103%HSIG|105:110%HTAR	1.0	1.0	type:textContent|163$181$1$highlight-offensivesignal$|185$212$2$highlight-offensivesignal$|214$218$3$highlight-offensivetarget$	type:textContent|163$181$3$highlight-offensivesignal$|184$212$2$highlight-offensivesignal$|213$218$1$highlight-offensivetarget$
	0	1231439877142728704	1- Birinci dalga liberal feminizm kamusal alanda kadın-erkek arasında yasal, formel bir eşitliğin sağlanması, kadın hakları için mücadele etti, -rahatsızlıkları olsa da- ailenin, kadının karşılığı ödenmemiş ev içi emeğinin varlığını veri kabul etti.	0.0	0.0	0.0			-1	-1		
	1	1233861391397732352	"""[German phone hacker] Karsten Nohl showed that Samsung was faking device updates last year,"" Turner said. ""Stop buying their stuff.""  https://t.co/FJrJqrS8F7 https://t.co/lh7j0Mbokf"	0.0	0.0	0.0			-1	-1		
	1	1278093969725980674	mustangs are so fucking gay 😂😭😔		1.0	-2.0		0:8%OTAR|13:27%OSIG	-1	-1		
	1	1277154797913878531	Friendly reminder that’s black lives matter and when that shit is fixed we going after ICE and helping the natives out AND THE YEMIN CRISIS. ALSO MUSLIMS IN CHINA ARE LITERALLY BEING HELD IN DETENTION CAMPS. Remember how fucked the holocaust is? Y’all wanna 2.0???	0.0	0.0	0.0			-1	-1		
	1	1233877360182734849	"A teacher was placed on administrative leave in 2017 after a parent said she was ""promoting the homosexual agenda” by showing students a picture of her partner. Mansfield ISD settled for $100,000 after a judge ruled the suspension unconstitutional. https://t.co/1RKr3hNQ0r"	0.0	0.0	0.0			-1	-1		
	0	1232748281710686208	Dün bir arkadaşımla kadın erkek ilişkilerinden konuşurken “Sen bir insanın evi olabilirsin” dedi. Bu aralar bu kadar güzel ve mutlu eden bir geri bildirim almamıştım doğrusu. Sanırım insanlar beni benden daha çok seviyor..😅	0.0	0.0	0.0			-1	-1		
	0	1229102550118522881	Lgbt dünyasının gelmiş geçmiş en muazzam kadınıyken sen bende, en soğuk, duygu hissettirmeyen lgbt dizileri gibi izlenim bıraktın içimde...	0.0	0.0	0.0			-1	-1		
	0	1329899941242826752	Komplocu ,fetöcü ,PKK lı gibi vatan haini değiliz ülkesinin insanını çok seven gelenek ve göreneklerine bağlı yaşlı nüfusuna saygısı hürmeti sonsuz müslüman Türk insanıyız Her Türk çok kıymetli İman gücü dünyada hiçbir millette yok hür doğduk hür yaşarız @drfahrettinkoca	0.0	1.0	-2.0		148:171%OSIG|172:193%OSIG|194:231%OSIG	1.0	1.0	type:textContent|109$117$1$highlight-offensivetarget$|119$125$2$highlight-offensivetarget$|127$130$3$highlight-offensivetarget$|139$150$4$highlight-offensivesignal$	type:textContent|109$117$1$highlight-offensivetarget$|119$125$2$highlight-offensivetarget$|127$130$3$highlight-offensivetarget$|139$150$4$highlight-offensivesignal$
	0	1336228716033298432	Yıllardır federasyonlardan hakem kurullarına , medyadan spor yorumcularına kadar her alanı ele geçirdikleri halde istediklerini elde edemeyen şikeci güruhların geldiği nokta artık saldırı sınırlarını  çok ötesine geçmiştir...	0.0	0.0	0.0			-1	-1		
137:142%OSIG|143:160%OTAR	0	1233727300165873664	#CumhurbaskanıErdoğan Eğer bizi idare edenler seksen yıldır müslüman Türk milletinin inancıyla uğraşmak yerine şu ayete kulak verselerdi kafir Rusya ve uşakları kahraman Askerlerimize saldırmaya cesaret edemezlerdi. https://t.co/jxlRSXnE0T	1.0	1.0	1.0	137:142%OSIG|143:160%OTAR	137:142%OSIG|143:148%OTAR	-1	-1		
	1	1277518210309521411	THAT SHIT IS NOT IN THE BIBLE-	0.0	1.0	-2.0		5:9%OSIG	0.0	0.0		
	0	1233329240403214336	"ZEYTİN DALI

(ANADOLU DALI)

ZEYT-Zeytinyağı. “Zeytin”: 1417: NECİB Fazıl Kısakürek… Arnavutça, ATHDE-Anavatan. “Anadolu”. (Anadolu: 98: Namaz-Duâ. Zikir. Kur’ân. Kunut. Rüku. Şükür. Tesbih. Secde. Hamd… Kürtçe, Ezman-Gök: 98: Ez-men-“Benden”… https://t.co/MQYgpELLRU"	0.0	0.0	0.0			-1	-1		
	1	1277058801187905537	I’m really mad hoopers got hit the hardest with this whole corona shit. I still see football players and soccer players casually outside 🤦🏽‍♂️	0.0	0.0	0.0			-1	-1		
124:127%OTAR|127:168%OSIG	0	1374055692944949253	"Fenerbahçe Spor Kulubü İstanbul Sözleşmesinin Fesh edilmesine yönelik Basın açıklaması yapmış.

Koç Bey, niye bu güne kadar Chp Teşkilatlarındaki Taciz Tecavüz olayları için tek kelime etmedin sustun acaba konuşman için emir""mi gelmedi üst akildan işinize bakın...

@Fenerbahce https://t.co/d7bRiYSIBS"	1.0	1.0	1.0	124:127%OTAR|146:160%OSIG	124:168%OSIG	-1	-1		
	1	1277970621926793216	The DAMN app won't work I have like 200 daily votes left to drop dammit	0.0	1.0	-2.0		4:8%OSIG|65:71%OSIG	0.0	0.0		
	0	1317475707321274368	Konu müslüman ülke ve hakları olunca hırıstiyan alemi kördür sağırdır, ama unutmayın ki hak geldi batıl yok olmaya mahkumdur, Can kardeşlerimiz Can azarbeycanımızın sivil halkına yapılan terörist saldırıyı lanetle kınıyorum	2.0	1.0	-2.0	37:47%HTAR|108:124%HSIG	37:53%OTAR|54:69%OSIG|98:124%OSIG|206:213%OSIG	1.0	1.0	type:textContent|146$162$1$highlight-offensivetarget$|163$169$2$highlight-offensivesignal$|170$178$3$highlight-offensivesignal$|207$212$4$highlight-offensivetarget$|213$233$5$highlight-offensivesignal$	type:textContent|146$162$1$highlight-offensivetarget$|163$169$2$highlight-offensivesignal$|170$178$3$highlight-offensivesignal$|207$212$4$highlight-offensivetarget$|213$233$5$highlight-offensivesignal$
45:74%HSIG|105:112%OSIG|128:156%OSIG|234:243%OSIG|262:276%HTAR	1	1343639503320313863	OH MY FUCKING GOD HOW DID WE DRAW THAT GAME. IM GONNA FUCKING KILL SOMEONE. SOOO MANY CHANCES. THEY ONLY FUCKING SCORED CUZ THE FUCKING FLOWERPOT GOT FOULED AND THE AGENDA AGAINST CHELSEA MEANT VAR DIDNT INTERVENE. IF HE WASNT SUCH A FLOWERPOT HE WOULDVE GOT UP DANISH LESBIAN	2.0	2.0	2.0	45:74%HSIG|262:276%HTAR	45:74%HSIG|105:112%OSIG|128:156%OSIG|234:243%OSIG|262:276%OSIG	-1	-1		
94:97%OSIG|99:109%OTAR	0	1272976295958392832	Babam arayıp kaç kaç diyip gülüyor böyle rezil ediliyoruz ya bunun hakkını nasıl vericeksiniz amk @Fenerbahce	1.0	1.0	1.0	94:97%OSIG|99:109%OTAR	94:97%OSIG|99:109%OTAR	-1	-1		
	1	1277215217810841600	I honestly hate the football	0.0	0.0	0.0			-1	-1		
	1	1277439501493604353	Hate that once you turn 40 you’re legally required to seek redemption by becoming a basketball coach	0.0	0.0	0.0			-1	-1		
182:183%OTAR|183:247%OSIG|263:266%OTAR|266:279%OSIG	0	1338759737777811463	"Müttefiklerimiz! olan Amerika ve NATO bize saldırmayacaksa NATO ve Amerikan envanterindeki uçak, silah ve füzelerinden koruyan S-400 hava savunma sisteminden niye rahatsız olur ki..

Kılıçdaroğlu’nun da dediği gibi PKK/YPG-PYD bize mi saldıracak⁉️

Haa bu arada 
CHP DE TACİZ VAR"	1.0	1.0	1.0	263:266%OTAR|270:279%OSIG	182:183%OTAR|183:247%OSIG|263:279%OSIG	-1	-1		
	1	1377303253797507075	c) Who are you guys trying to fool, here? You deemed Beau Biden to be an inconvenience, so, like, McCain, killed him with a glioblastoma. You're, now, busy torturing Hunter Biden. I wouldn't be surprised if you kill Biden and have him replaced with Kamal Harris. Murderers!	0.0	1.0	-2.0		263:273%OSIG	1.0	1.0	type:textContent|289$324$1$highlight-offensivesignal$|372$381$2$highlight-offensivesignal$	type:textContent|289$324$2$highlight-offensivesignal$|372$381$1$highlight-offensivesignal$
	0	1350821944741003266	"Bugün İzmir’in Gümüşpala semtinde, Suriyeli bir aileye yönelik ırkçı bir saldırı gerçekleşti. Suriyeli aileden bir kişi hastaneye kaldırıldı. Saldırıyı gerçekleştiren ırkçılar ise kaçtı.

İnsanlık onurunu ve vicdanını yaralayan bu faşizan saldırının karşısında duracağız. https://t.co/dxBxPkGt2V"	0.0	0.0	0.0			-1	-1		
	1	1344040981298106369	im tryna listen to german error message and die	0.0	0.0	0.0			-1	-1		
	0	1232039737738788865	#birdevirkapanıyor tam üzülücem feminist damarım ağır basıyor be halittt.. neyse Allah ne güzel de belanı versin hahahhaaa		1.0	-2.0		99:112%OSIG	-1	-1		
0:11%HSIG|42:47%OSIG|58:89%HSIG|92:96%HTAR	0	1289899293944320000	"Lânet olsun şu rezilliği destekleyenlere, yazık sizlere..
Allah'ın laneti üzerinize olsun!
#LGBT"	2.0	2.0	2.0	0:11%HSIG|58:89%HSIG|92:96%HTAR	0:11%HSIG|42:47%OSIG|58:89%HSIG|92:96%HTAR	-1	-1		
96:122%HTAR|126:138%OSIG|139:149%HTAR|222:259%HSIG|262:275%HTAR	0	1336245893310386179	"Ülke öyle bir hale geldiki kadına küfür, taciz, tehdit meşru hale geldi. Bunu yapanlarda bizzat Ali Koç'un maaşlı trolleri ve şikeci ırkçı fenerbahçe'dir.
Masum insanları karalamaya devam edin. Bunlar son çırpınışlarınız. Daha beter olucağınız günler yakındır.
#BeyazTVboykot"	2.0	2.0	2.0	96:122%HTAR|126:138%OSIG|139:149%HTAR|222:259%HSIG	126:138%OSIG|139:149%OTAR|222:259%HSIG|262:275%HTAR	-1	-1		
	0	1328640524119633922	"'Bizi Amerikalılar eğitti'

Suriye'de yakalanan PKK'lı terörist, 5 ABD'li tarafından eğitildiğini itiraf etti.

Dün sabaha karşı düzenlenen operasyonla yakalanan PKK'lı terörist, bir ay süreyle 5 ABD'liden 500 teröristle birlikte eğitim aldıklarını söyledi.

#ABD #PKK #Suriye https://t.co/60jTmGHc0k"	0.0	0.0	0.0			-1	-1		
	1	1377286831243419662	"How can China continue commiting this genocide? This is truly sickening, refugees are so scared to speak up because they get tracked down and threatened as Chinese police hold their families hostage. 

'The cost of speaking up against China'
https://t.co/eZAExQ37Ea"	0.0	0.0	0.0			-1	-1		
20:28%OSIG|60:77%OSIG	1	1343690229455204353	"This is the sort of bullshit gatekeeping queer people face. Don't bitch about blood shortages when you leave out such a significant portion of the population. 

https://t.co/eoo8sj1Eam"	1.0	1.0	1.0	20:28%OSIG|60:77%OSIG	20:28%OSIG|66:71%OSIG	-1	-1		
	1	1277822069745614848	don't know who needs to hear this but bi erasure is such an issue in the lgbtq+ community and it needs to fucking stop. like obviously it's an issue from homophobic str8 ppl too but to see your own community not support you at times really does suck	0.0	1.0	-2.0		106:113%OSIG	0.0	0.0		
	1	1377138631597379584	🍞 🍷 What can wash away my sin? Nothing but the blood of Jesus! 🍞 🍷 #Easter #HolyWeek #communion #bread #wine #Jesus #Cross #Resurrection #Celebration #Scripture #Bible #WordOfGod #VerseOfTheDay #TBNUK https://t.co/PsW553lOyJ	0.0	0.0	0.0			-1	-1		
	0	1343579071893143552	"Tecrübeyle denenmiştir❗
Gerek müslüman kardeşin gerekse de kan kan kardeşlerinle hem fikir olmadığın düşünceleri gündem edip gereksiz birbirinizi kırıp moral bozmayın.
Ortak konuyla muhabbet edip ortamı yumuşatarak hoş sohbetle keyifli vakit geçirebiliriz! https://t.co/lmA9nWSv5n"	0.0	0.0	0.0			-1	-1		
	0	1358802487940157445	Galatasaray  Küfürden şikayet Ediyor  Ama Arda Turan Soyunma Odasına Küfür Ediyor Fatih Terim İle Arda Turanı Kurtlar Vadisin'de Oynatsınlar Çünkü Fatih Terimin Rölü İyi kebab Dükkanı Basar Arda Da Silahla Hastane Basar Bunlar'da Oyunculuk Yeteğini Vardır	1.0	0.0	-2.0	82:93%OTAR|98:108%OTAR|230:255%OSIG		0.0	0.0		
10:15%OSIG|177:180%OTAR|181:188%OSIG|245:249%OSIG|250:253%OTAR	1	1277314837106679808	"Yet these mf'rs claim to be victims while trying to victimize Jewish people. it's no different than if I decided to kill someone and blame you for it. it's an act of cowardice..BLM cowards are spreading lies and I for one am furious about it 😠 fuck BLM 🖕
https://t.co/gLwMWpZsBU"	1.0	1.0	1.0	10:15%OSIG|177:180%OTAR|181:188%OSIG|245:249%OSIG|250:253%OTAR	10:15%OSIG|181:188%OSIG|245:249%OSIG|250:253%OTAR	-1	-1		
	1	1377400908661682178	Rep. Alexandria Ocasio-Cortez@RepAOC  Why do Mass murders happen on Dems watch. Knives kill more n the USA compared 2 shootings. It's never televised. A knife wheeling maniac n a Mall can silently kill great numbers of people &amp; injure many more. Guns announce your there to kill.	0.0	0.0	0.0			-1	-1		
81:85%OSIG|95:107%OTAR	1	1277678793499357184	How do I really find out what type of African I am? That https://t.co/TEqULvSl61 shit only for white people	1.0	1.0	1.0	81:85%OSIG|95:107%OTAR	81:85%OSIG	-1	-1		
	0	1338980114714005505	"Yetim malı yenir, sessizlik
Tecavüz olur, sessizlik
Hırsızlık olur, sessizlik
Zulüm olur, sessizlik
...

Biri kalkar, Allah ile ilgili hadsiz bir şaka yapar.

Müslümanlar: Kafir, Allah'a nasıl böyle dersin.

Müslümanlar, Allah kendini korur, siz mazlumu koruyun."	0.0		-2.0			-1	-1		
	0	1306563355176505346	Cidden ne zaman lgbt bireyi olmanın kötü bir şey olmadığını sadece aşkın aşk olduğunu ama küçük yaşta evlendirilmenin, tecavüz ve tacizin kötü bir şey olduğunu anlayacaksınız?#LGBTyeGeçitYok	0.0	0.0	0.0			-1	-1		
0:5%OTAR|7:25%OSIG|57:81%OSIG|87:97%OSIG	1	1277953968115679233	"Trump, the fucking loser.... will quit!!!!!!!!!!!!!!!!!!
Worthless piece of shit.
Lock the fucker up"	1.0	1.0	1.0	0:5%OTAR|11:25%OSIG|57:80%OSIG|87:97%OSIG	0:5%OTAR|7:24%OSIG|57:81%OSIG|87:97%OSIG	-1	-1		
	1	1278064018205204480	U dnt even see gay niggas doing weird shit like that 🤦🏾‍♂️	1.0	2.0	-2.0	15:25%OTAR|32:42%OSIG	19:25%HSIG|32:42%OSIG	1.0	0.0	type:textContent|128$134$1$highlight-offensivesignal$	
	0	1233832812500934658	Premier lig dersin, her zaman beklentimi karşılar dersin YALAN #WATLIV	0.0	0.0	0.0			-1	-1		
9:14%OSIG|114:125%OSIG|130:136%OTAR	1	1277804322642964488	and this clown works for the government?😭😭 at least learn a thing or two about the religion before u tweet such stupid shit out angela. https://t.co/nmFvCZ5Mgm	1.0	1.0	1.0	9:14%OSIG|114:125%OSIG|130:136%OTAR	114:125%OSIG	-1	-1		
	1	1375576863788138500	Neon MSU football unis weren’t that bad and I’m willing to die on that hill	0.0	0.0	0.0			-1	-1		
	0	1278105570508189696	Ey akp liler bu kadarmı sizden olmayanlarda nefret ediyorsunuz halbuki bunlar hergün yüz yüze geldiğiniz kişiler	0.0	0.0	0.0			-1	-1		
0:3%HSIG|13:27%HSIG|29:32%HSIG|61:64%HSIG|88:91%HSIG|268:279%HSIG	0	1233876532768186368	"Vur Mehmedim vur aman durma.
Vur alem-i islam bekledi bugünü
Vur mazlumlar gözledi seni
Vur sabiler çağırdı seni
Dik bayrağını oku ezanı
Ömer bekledi Hamza bekledi Ali bekledi 
Canan bekledi can bekledi seni
Hilal çağırdı Allah sesledi seni
Resulallahtan çağrın geldi VUR VUR VUR"	2.0	2.0	2.0	268:279%HSIG	0:3%HSIG|13:27%HSIG|29:32%HSIG|61:64%HSIG|88:91%HSIG|268:279%HSIG	-1	-1		
	1	1277799983190687744	"AP sources: White House aware of Russian bounties in 2019 https://t.co/MO2k3xMhv8 

It was fucking last year!"	0.0	1.0	-2.0		91:98%OSIG	0.0	0.0		
84:92%OTAR|145:160%OSIG	1	1278080991890944001	"Deja Pooh - I've seen this shit before.

McGrath will lose to McConnell because the far left won't vote for her.

Then they will turn around and bitch for years about how he is a symptom.

I've lost all sympathy for people doing the wrong thing for the wrong reason!"	1.0	1.0	1.0	84:92%OTAR|145:160%OSIG	145:150%OSIG	-1	-1		
	0	1368847895630340098	"Bu mesaj yüksek dozda dua içerir

Allah  kadınlarımızın, analarımızın, bacılarımızın, ablalarımız'ın, kardeşlerimizin günlerini  hayırlarla, huzurla ve ömürleri'nide Allah'ın rızası'nı kazan'maya nasip etsin Âmiin  

(Hain, terörist, lgbt hariç)!!!"	1.0	2.0	-2.0	218:232%OSIG|234:238%OTAR|239:244%OSIG	218:244%HTAR	1.0	1.0	type:textContent|327$331$1$highlight-offensivesignal$|333$341$2$highlight-offensivesignal$|343$347$3$highlight-offensivetarget$	type:textContent|327$331$2$highlight-offensivesignal$|333$341$3$highlight-offensivesignal$|343$347$1$highlight-offensivetarget$
21:36%OSIG|42:47%OSIG|47:56%OTAR	0	1345407840551399427	"Ne şehidi be !
O bir Müslüman katili..!

#KatilSüleymani https://t.co/1ZOJXgyClX"	1.0	1.0	1.0	30:35%OSIG	21:36%OSIG|42:47%OSIG|47:56%OTAR	-1	-1		
	0	1231877926028763136	"Eşcinselliğin kimyasal temelli bir rahatsızlık olduğu böylece Fransız mahkemelerince tescillenmiş. Roma bu hastalığı tedavi etmek yerine yaymayı seçiyor.  Ama nedense pek gündem olmuyor bu haberler. Medyada çok güçlüler😄
https://t.co/5YWVhzZnrx"	0.0	1.0	-2.0		0:13%OTAR|104:116%OSIG	1.0	1.0	type:textContent|109$122$1$highlight-offensivetarget$|144$155$2$highlight-offensivesignal$|216$225$3$highlight-offensivesignal$	type:textContent|109$122$1$highlight-offensivetarget$|144$155$2$highlight-offensivesignal$|208$212$3$highlight-offensivetarget$
	0	1258496082314756096	Annemle yabancı film izlemek işkence ya her kadına sürtük diyo atlıcam birazdan uzerine BU ONLARIN HAYATI YA MÜSLÜMAN DEGİL ONLAR KABUL ET ARTIK	0.0	0.0	0.0			-1	-1		
5:19%OTAR|58:65%OSIG	1	1343636522696904704	This premier league season is actually dead. Everyone are so shit dropping loads of points losing drawing games they should be winning	1.0	1.0	1.0	5:19%OTAR|61:65%OSIG	58:65%OSIG	-1	-1		
	1	1344736409723265024	"Could this threat Iran made yesterday against POTUS be reason POTUS flew back to DC today? 

Iran says Trump's life 'will end,' won't stop until revenge on US for killing Soleimani in new statement https://t.co/wWvcI5UNqZ via @amermilnews"	0.0	0.0	0.0			-1	-1		
	1	1277941291003805696	The @GOP is so racist, the seething hate they had for our first black president caused them to knowingly elect a Russian asset and traitor who approved slaughtering of our soldiers - their hate ensures their ongoing treason🤦🏽‍♀️@senatemajldr @SpeakerPelosi #TreasonousTrump https://t.co/lOmvM6zCME	1.0	0.0	-2.0	5:8%OTAR|15:21%OSIG|202:223%OSIG		1.0	1.0	type:textContent|114$117$2$highlight-offensivetarget$|124$130$1$highlight-offensivesignal$|240$247$3$highlight-offensivesignal$|252$289$4$highlight-offensivesignal$	type:textContent|113$117$1$highlight-offensivetarget$|124$130$2$highlight-offensivesignal$
	0	1348566255519866885	Havin denilen LGBT'li, bana gözaltında jop soktular, soydular, çıplak aradılar, taciz ettiler diyordu. Hepsini 1 dakika 38 saniyedemi yapmışlar. Polisin üzerine iftira atmak bu kadar basit işte. https://t.co/0fFhDNo7T1	0.0	0.0	0.0			-1	-1		
	1	1233859406355456002	"Yesterday was released #QueenSono, a short but rich Netflix South African series that tackles, for what is definitely a first for a mainstream international series, complex issues about decolonialism. A must-see, as I tried to explain as best as I could :
https://t.co/MGbt85Z8rq https://t.co/Lfr5M0uvlJ"	0.0	0.0	0.0			-1	-1		
	1	1277965731003379715	Good thing about the USA elections will be that the @GOP will be trampled on in Congress and the Senate. The electorate hate those who are complicit and do nothing to protect those who voted them in. Goners!!  Kaputt!!  @nytimes @GuardianUS @TheAtlantic	0.0	0.0	0.0			-1	-1		
131:136%OTAR|138:187%OSIG|187:192%OTAR|192:236%OSIG|236:239%OTAR|239:260%OSIG	1	1344778272710733831	"Cuomo your some governor . 
You killed the elderly. Good job!
You shut down business . Great job!
You still did not get a job with Biden!
You had sex with your brother, still no job with Biden.
If you had sex with your sons wife , like joe , you'd get the job! https://t.co/xELW1TLuOt"	1.0	1.0	1.0	131:136%OTAR|187:192%OTAR|194:228%OSIG|236:239%OTAR	138:260%OSIG	-1	-1		
	1	1344782223166341120	Tell your Republican Senators that if they don't support Trump they are DEAD to you.And they will be primaried.	2.0	0.0	-2.0	10:29%HTAR|63:83%HSIG		0.0	2.0		type:textContent|119$138$1$highlight-hatetarget$|181$185$2$highlight-hatesignal$
11:35%OTAR|36:87%OSIG	1	1375531653116919808	I consider rugby a sport for people who were shit at football so took up chasing an egg. But what it lacks in technical ability it makes up for In absolute brutality. https://t.co/7i1ZqEP4tM	1.0	1.0	1.0	11:35%OTAR|36:87%OSIG	45:49%OSIG	-1	-1		
	1	1377353376451731456	I think Obama has been more destructive behind the scenes telling Joe what to do than he was 8 years of trying to destroy us as President.	1.0	0.0	-2.0	8:13%OTAR|28:39%OSIG|104:124%OSIG		0.0	0.0		
48:84%OSIG|119:124%OSIG	0	1273990789840977921	"Kadın cinayetleri de herşey gibi politiktir !. 

Gerici, faşist, yobaz, cahil kusmuk kültürünüzü, anadolu ferasetinizi s2yim !!."	1.0	1.0	1.0	49:84%OSIG|119:124%OSIG	48:84%OSIG|119:124%OSIG	-1	-1		
	1	1277809884810088450	"FURTHER📺📺
you dont even have to know
the person to ""party""...
so again/define a catholic fuck?
UNDERSTAND📺📺 https://t.co/Tdhan2RxW3"		1.0	-2.0		82:95%OSIG	-1	-1		
11:34%OSIG|35:40%OTAR|161:165%OSIG|214:218%OSIG	1	1344311333328715778	Y’all know how fucked up living in bible days would be... you could get killed for just about anything and your family could be a casualty of war based off some shit you did. Imagine getting stoned because of some shit your brother did 🥴	1.0	1.0	1.0	11:34%OSIG|35:40%OTAR	15:24%OSIG|161:165%OSIG|214:218%OSIG	-1	-1		
	0	1344193736104960001	"Birileri terörist Demirtaş’ın cezaevinden çıkarılarak hürriyetine kavuşması için yırtınıp duruyor.

Terörist Selahattin Demirtaş'a özgürlük istenmesine tepki gösteren ve çocuğu PKK’ya kaçırılan Acılı anne:

 ""Benim Ceylanımın özgürlüğü nerede?"" dedi.

Haksız mı? https://t.co/ysQOemE3BY"		0.0	-2.0			-1	-1		
42:58%OSIG|111:120%OSIG|136:149%OSIG	0	1260259755924303874	Şu güzel müslüman demokratik ülkemizde ne orospu çoçuklarıyla karşılaştık ve karşılaşmaya devam ediyoruz. Ulan yalakalık olacak diye ne orospu çocuğusu oldunuz çıktınız.	1.0	1.0	1.0	42:58%OSIG|136:149%OSIG	42:58%OSIG|111:120%OSIG|136:149%OSIG	-1	-1		
14:32%OSIG|33:53%OTAR|136:148%OSIG	1	1233898303512875011	imo the whole fucked up ethos of the church of seiros is captured in the fact that they initiated a manhunt when flayn went missing but did fuck-all for monica the year prior	1.0	1.0	1.0	14:32%OSIG|33:53%OTAR|136:148%OSIG	140:148%OSIG	-1	-1		
	0	1233852497858584576	"Bu kahraman Mehmet, bu Mehmetçik oldukça,
Söz gelmez, el değmez ne Bayrak ne Vatan’a.
Analar sağoldukça, Mehmet’ler varoldukça,
Ne şahlanır zalimler, ne esaret halkıma.

#ÖğretmenlerMehmetçiğinYanında https://t.co/OIo61nzjUf"	0.0	0.0	0.0			-1	-1		
